feature,importance
OverallQual,29.5691266049948
GrLivArea,17.130057444871355
GarageCars,5.02820530411805
BsmtFinSF1,4.999092552444526
TotalBsmtSF,4.2194140989989455
1stFlrSF,3.9614672616882833
YearBuilt,3.9039423872979655
LotArea,3.3779510606797194
2ndFlrSF,2.8775124160467613
Neighborhood,2.643646385120723
Fireplaces,2.335231024231918
GarageFinish,2.2497661822413506
OverallCond,1.4292105489540077
LandContour,1.3602242304611294
KitchenQual,1.1527184284647467
YearRemodAdd,1.0528562855846069
BsmtQual,1.025742301402125
OpenPorchSF,0.8843578703847179
GarageYrBlt,0.862971161845014
CentralAir,0.7083473379332879
GarageArea,0.6815897275784414
BsmtExposure,0.6800111525901775
GarageType,0.6638575528535247
SaleCondition,0.5901313276733524
BsmtFullBath,0.567963176091834
LotFrontage,0.5476778969816227
FullBath,0.49867145190619894
Condition1,0.4850306507078946
HalfBath,0.44022621070128504
WoodDeckSF,0.4139268266363528
BsmtUnfSF,0.34903218625747573
Exterior1st,0.320877027178874
BsmtFinType1,0.30444245917773216
MSZoning,0.3022824643777208
LotShape,0.28449374619141715
MasVnrArea,0.24888016401580818
Functional,0.24521780543579838
SaleType,0.20214128722105887
BedroomAbvGr,0.17578952973927867
MasVnrType,0.15196053960796022
MSSubClass,0.12312570556302901
Exterior2nd,0.10257556071063445
TotRmsAbvGrd,0.09535017207528633
BsmtCond,0.08674964918359214
Fence,0.08217232364035863
BldgType,0.07833530694943457
GarageQual,0.07484497264795131
RoofStyle,0.07047576842888129
FireplaceQu,0.06483103359374774
ExterCond,0.052650215528169335
Foundation,0.04512684064602194
GarageCond,0.044570230418624075
Heating,0.03596275124773716
ExterQual,0.033344527369442455
HouseStyle,0.02533267541536246
Electrical,0.023005418690546092
BsmtFinType2,0.018215503301057315
HeatingQC,0.01546383821516149
PavedDrive,0.0018234356870653026
LowQualFinSF,0.0
ScreenPorch,0.0
BsmtFinSF2,0.0
BsmtHalfBath,0.0
3SsnPorch,0.0
EnclosedPorch,0.0
KitchenAbvGr,0.0
